
=== Confidence Scores for ADASYN ===
Sample 173: Avg Confidence = 1.6153
Sample 174: Avg Confidence = 2.0163
Sample 175: Avg Confidence = 1.7685
Sample 176: Avg Confidence = 5.2157
Sample 177: Avg Confidence = 0.9635
Sample 178: Avg Confidence = 2.3828
Sample 179: Avg Confidence = 2.4349
Sample 180: Avg Confidence = 1.8958
Sample 181: Avg Confidence = 8.2137
Sample 182: Avg Confidence = 3.0829
Sample 183: Avg Confidence = 3.7818
Sample 184: Avg Confidence = 3.1546
Sample 185: Avg Confidence = 2.2492
Sample 186: Avg Confidence = 2.3222
Sample 187: Avg Confidence = 2.2325
Sample 188: Avg Confidence = 3.4525
Sample 189: Avg Confidence = 2.1445
Sample 190: Avg Confidence = 3.1794
Sample 191: Avg Confidence = 1.7435
Sample 192: Avg Confidence = 2.3675
Sample 193: Avg Confidence = 1.9442
Sample 194: Avg Confidence = 3.1504
Sample 195: Avg Confidence = 2.4841
Sample 196: Avg Confidence = 2.5716
Sample 197: Avg Confidence = 2.1021
Sample 198: Avg Confidence = 1.6658
Sample 199: Avg Confidence = 1.9218
Sample 200: Avg Confidence = 1.0580
Sample 201: Avg Confidence = 3.7357
Sample 202: Avg Confidence = 1.5473
Sample 203: Avg Confidence = 2.0117
Sample 204: Avg Confidence = 2.1727
Sample 205: Avg Confidence = 1.0218
Sample 206: Avg Confidence = 2.4583
Sample 207: Avg Confidence = 2.5668
Sample 208: Avg Confidence = 2.5104
Sample 209: Avg Confidence = 2.5644
Sample 210: Avg Confidence = 1.4461
Sample 211: Avg Confidence = 2.2647
Sample 212: Avg Confidence = 0.7785
Sample 213: Avg Confidence = 4.3579
Sample 214: Avg Confidence = 2.9124
Sample 215: Avg Confidence = 2.6155
Sample 216: Avg Confidence = 3.2806
Sample 217: Avg Confidence = 3.5251
Sample 218: Avg Confidence = 1.1952
Sample 219: Avg Confidence = 2.0186
Sample 220: Avg Confidence = 3.8841
Sample 221: Avg Confidence = 1.5148
Sample 222: Avg Confidence = 1.8949
Sample 223: Avg Confidence = 3.5253
Sample 224: Avg Confidence = 2.8778
Sample 225: Avg Confidence = 1.6227
Sample 226: Avg Confidence = 1.3923
Sample 227: Avg Confidence = 2.8090
Sample 228: Avg Confidence = 1.4799
Sample 229: Avg Confidence = 3.1697
Sample 230: Avg Confidence = 2.1044
Sample 231: Avg Confidence = 1.9100
Sample 232: Avg Confidence = 1.8761
Sample 233: Avg Confidence = 1.0793
Sample 234: Avg Confidence = 1.8752
Sample 235: Avg Confidence = 1.2442
Sample 236: Avg Confidence = 2.8362
Sample 237: Avg Confidence = 1.3270
Sample 238: Avg Confidence = 1.4802
Sample 239: Avg Confidence = 1.5450
Sample 240: Avg Confidence = 2.0539
Sample 241: Avg Confidence = 1.9695
Sample 242: Avg Confidence = 3.1881
Sample 243: Avg Confidence = 5.6733
Sample 244: Avg Confidence = 2.4281
Sample 245: Avg Confidence = 1.5867
Sample 246: Avg Confidence = 2.5389
Sample 247: Avg Confidence = 3.3475
Sample 248: Avg Confidence = 3.7543
Sample 249: Avg Confidence = 1.7019
Sample 250: Avg Confidence = 2.8771
Sample 251: Avg Confidence = 1.7301
Sample 252: Avg Confidence = 3.2317
Sample 253: Avg Confidence = 4.5088
Sample 254: Avg Confidence = 2.7553
Sample 255: Avg Confidence = 3.9019
Sample 256: Avg Confidence = 2.1919
Sample 257: Avg Confidence = 1.6384
Sample 258: Avg Confidence = 2.5951
Sample 259: Avg Confidence = 2.0925
Sample 260: Avg Confidence = 2.5377
Sample 261: Avg Confidence = 2.4636
Sample 262: Avg Confidence = 1.5387
Sample 263: Avg Confidence = 2.4183
Sample 264: Avg Confidence = 1.6507
Sample 265: Avg Confidence = 1.9328
Sample 266: Avg Confidence = 2.1405
Sample 267: Avg Confidence = 1.8271
Sample 268: Avg Confidence = 2.7042
Sample 269: Avg Confidence = 2.4662
Sample 270: Avg Confidence = 1.2049
Sample 271: Avg Confidence = 4.9062
Sample 272: Avg Confidence = 2.2477
Sample 273: Avg Confidence = 2.0497
Sample 274: Avg Confidence = 2.2607
Sample 275: Avg Confidence = 1.1552
Sample 276: Avg Confidence = 1.3510
Sample 277: Avg Confidence = 4.4581
Sample 278: Avg Confidence = 2.3253
Sample 279: Avg Confidence = 2.5324
Sample 280: Avg Confidence = 2.8741
Sample 281: Avg Confidence = 2.8269
Sample 282: Avg Confidence = 2.2772
Sample 283: Avg Confidence = 2.7290
Sample 284: Avg Confidence = 3.2516
Sample 285: Avg Confidence = 1.4303
Sample 286: Avg Confidence = 2.1714
Sample 287: Avg Confidence = 2.9055
Sample 288: Avg Confidence = 1.7108
Sample 289: Avg Confidence = 1.3000
Sample 290: Avg Confidence = 2.8063
Sample 291: Avg Confidence = 2.0443
Sample 292: Avg Confidence = 5.9097
Sample 293: Avg Confidence = 2.8841
Sample 294: Avg Confidence = 1.7726
Sample 295: Avg Confidence = 2.1894
Sample 296: Avg Confidence = 1.5106
Sample 297: Avg Confidence = 2.0494
Sample 298: Avg Confidence = 1.5779
Sample 299: Avg Confidence = 2.0071
Sample 300: Avg Confidence = 3.1810
Sample 301: Avg Confidence = 0.9029
Sample 302: Avg Confidence = 1.2658
Sample 303: Avg Confidence = 2.0233
Sample 304: Avg Confidence = 0.9342
Sample 305: Avg Confidence = 3.1667
Sample 306: Avg Confidence = 3.8387
Sample 307: Avg Confidence = 4.9749
Sample 308: Avg Confidence = 1.7641
Sample 309: Avg Confidence = 1.6248
Sample 310: Avg Confidence = 2.4392
Sample 311: Avg Confidence = 2.8376
Sample 312: Avg Confidence = 1.5084
Sample 313: Avg Confidence = 2.2947
Sample 314: Avg Confidence = 1.4934
Sample 315: Avg Confidence = 2.3706
Sample 316: Avg Confidence = 2.7393
Sample 317: Avg Confidence = 2.0479
Sample 318: Avg Confidence = 2.7225
Sample 319: Avg Confidence = 2.6437
Sample 320: Avg Confidence = 1.4978
Sample 321: Avg Confidence = 2.8692
Sample 322: Avg Confidence = 3.3990
Sample 323: Avg Confidence = 3.1260
Sample 324: Avg Confidence = 2.2165
Sample 325: Avg Confidence = 3.5230
Sample 326: Avg Confidence = 2.4033
Sample 327: Avg Confidence = 1.8698
Sample 328: Avg Confidence = 2.4072
Sample 329: Avg Confidence = 0.6519
Sample 330: Avg Confidence = 3.5768
Sample 331: Avg Confidence = 3.3939
Sample 332: Avg Confidence = 1.4404
Sample 333: Avg Confidence = 7.1052
Sample 334: Avg Confidence = 2.4255
Sample 335: Avg Confidence = 2.5471
Sample 336: Avg Confidence = 1.2859
Sample 337: Avg Confidence = 2.2115
Sample 338: Avg Confidence = 2.3739
Sample 339: Avg Confidence = 1.8227
Sample 340: Avg Confidence = 1.6601
Sample 341: Avg Confidence = 3.9405
Sample 342: Avg Confidence = 2.3891
Sample 343: Avg Confidence = 2.0221
Sample 344: Avg Confidence = 1.3412
Sample 345: Avg Confidence = 2.8053
Sample 346: Avg Confidence = 1.2608
Sample 347: Avg Confidence = 2.1480
Sample 348: Avg Confidence = 5.1640
Sample 349: Avg Confidence = 3.5062
Sample 350: Avg Confidence = 4.9952
Sample 351: Avg Confidence = 2.0363
Sample 352: Avg Confidence = 3.9606
Sample 353: Avg Confidence = 1.5740
Sample 354: Avg Confidence = 1.7026
Sample 355: Avg Confidence = 2.4214
Sample 356: Avg Confidence = 1.6892
Sample 357: Avg Confidence = 4.2717
Sample 358: Avg Confidence = 1.2225
Sample 359: Avg Confidence = 2.0471
Sample 360: Avg Confidence = 3.0548
Sample 361: Avg Confidence = 4.5794
Sample 362: Avg Confidence = 3.1252
Sample 363: Avg Confidence = 2.3664
Sample 364: Avg Confidence = 4.0456
Sample 365: Avg Confidence = 1.3009
Sample 366: Avg Confidence = 2.0041
Sample 367: Avg Confidence = 1.8656
Sample 368: Avg Confidence = 2.5365
Sample 369: Avg Confidence = 2.4256
Sample 370: Avg Confidence = 1.6554
Sample 371: Avg Confidence = 1.4878
Sample 372: Avg Confidence = 2.5761
Sample 373: Avg Confidence = 3.4490
Sample 374: Avg Confidence = 5.0728
Sample 375: Avg Confidence = 3.1226
Sample 376: Avg Confidence = 1.4009
Sample 377: Avg Confidence = 2.0983
Sample 378: Avg Confidence = 1.5972
Sample 379: Avg Confidence = 3.3839
Sample 380: Avg Confidence = 1.6247
Sample 381: Avg Confidence = 1.4642
Sample 382: Avg Confidence = 1.6124
Sample 383: Avg Confidence = 3.3015
Sample 384: Avg Confidence = 1.6473
Sample 385: Avg Confidence = 2.5255
Sample 386: Avg Confidence = 4.8168
Sample 387: Avg Confidence = 3.9960
Sample 388: Avg Confidence = 3.0346
Sample 389: Avg Confidence = 5.0102
Sample 390: Avg Confidence = 2.3392
Sample 391: Avg Confidence = 1.4820
Sample 392: Avg Confidence = 2.0426
Sample 393: Avg Confidence = 2.3708
Sample 394: Avg Confidence = 3.2013
Sample 395: Avg Confidence = 3.5760
Sample 396: Avg Confidence = 2.2338
Sample 397: Avg Confidence = 2.6983
Sample 398: Avg Confidence = 3.0581
Sample 399: Avg Confidence = 3.4031
Sample 400: Avg Confidence = 4.1240
Sample 401: Avg Confidence = 4.2154
Sample 402: Avg Confidence = 2.8306
Sample 403: Avg Confidence = 2.4631
Sample 404: Avg Confidence = 3.9116
Sample 405: Avg Confidence = 0.6270
Sample 406: Avg Confidence = 3.1515
Sample 407: Avg Confidence = 1.9453
Sample 408: Avg Confidence = 1.6841
Sample 409: Avg Confidence = 2.4607
Sample 410: Avg Confidence = 0.9649
Sample 411: Avg Confidence = 2.9952
Sample 412: Avg Confidence = 1.8480
Sample 413: Avg Confidence = 3.0860
Sample 414: Avg Confidence = 4.0672
Sample 415: Avg Confidence = 3.4430
Sample 416: Avg Confidence = 3.3167
Sample 417: Avg Confidence = 4.6852
Sample 418: Avg Confidence = 1.8727
Sample 419: Avg Confidence = 2.8567
Sample 420: Avg Confidence = 3.7902
Sample 421: Avg Confidence = 3.4733
Sample 422: Avg Confidence = 1.6988
Sample 423: Avg Confidence = 1.8539
Sample 424: Avg Confidence = 4.1276
Sample 425: Avg Confidence = 1.4771
Sample 426: Avg Confidence = 3.7874
Sample 427: Avg Confidence = 2.4881
Sample 428: Avg Confidence = 2.0756
Sample 429: Avg Confidence = 3.4691
Sample 430: Avg Confidence = 3.5989
Sample 431: Avg Confidence = 1.8353
Sample 432: Avg Confidence = 2.6219
Sample 433: Avg Confidence = 3.6772
Sample 434: Avg Confidence = 1.9956
Sample 435: Avg Confidence = 0.9872
Sample 436: Avg Confidence = 2.1089
Sample 437: Avg Confidence = 1.4246
Sample 438: Avg Confidence = 1.3263
Sample 439: Avg Confidence = 2.7692
Sample 440: Avg Confidence = 2.9211
Sample 441: Avg Confidence = 1.4815
Sample 442: Avg Confidence = 1.9550
Sample 443: Avg Confidence = 2.0945
Sample 444: Avg Confidence = 2.1802
Sample 445: Avg Confidence = 2.9327
Sample 446: Avg Confidence = 1.9230
Sample 447: Avg Confidence = 2.2299
Sample 448: Avg Confidence = 1.9633
Sample 449: Avg Confidence = 2.1276
Sample 450: Avg Confidence = 2.6359
Sample 451: Avg Confidence = 2.2007
Sample 452: Avg Confidence = 1.3729
Sample 453: Avg Confidence = 1.7742
Sample 454: Avg Confidence = 2.8200
Sample 455: Avg Confidence = 2.7600
Sample 456: Avg Confidence = 1.5146
Sample 457: Avg Confidence = 1.4498
Sample 458: Avg Confidence = 1.4476
Sample 459: Avg Confidence = 1.7767
Sample 460: Avg Confidence = 2.6971
Sample 461: Avg Confidence = 4.3137
Sample 462: Avg Confidence = 1.8735
Sample 463: Avg Confidence = 1.8976
Sample 464: Avg Confidence = 1.9068
Sample 465: Avg Confidence = 5.5351
Sample 466: Avg Confidence = 6.1436
Sample 467: Avg Confidence = 2.1086
Sample 468: Avg Confidence = 2.4883
Sample 469: Avg Confidence = 2.6687
Sample 470: Avg Confidence = 1.0867
Sample 471: Avg Confidence = 2.2318
Sample 472: Avg Confidence = 2.2159
Sample 473: Avg Confidence = 4.6038
Sample 474: Avg Confidence = 3.2715
Sample 475: Avg Confidence = 1.6789
Sample 476: Avg Confidence = 3.6897
Sample 477: Avg Confidence = 2.6880
Sample 478: Avg Confidence = 2.5907
Sample 479: Avg Confidence = 2.1820
Sample 480: Avg Confidence = 1.3464
Sample 481: Avg Confidence = 2.3358
Sample 482: Avg Confidence = 2.8193
Sample 483: Avg Confidence = 3.5920
Sample 484: Avg Confidence = 3.6968
Sample 485: Avg Confidence = 1.8024
Sample 486: Avg Confidence = 1.3492
Sample 487: Avg Confidence = 2.8517
Sample 488: Avg Confidence = 8.1364
Sample 489: Avg Confidence = 2.6534
Sample 490: Avg Confidence = 4.4729
Sample 491: Avg Confidence = 3.3284
Sample 492: Avg Confidence = 2.9038
Sample 493: Avg Confidence = 2.6524
Sample 494: Avg Confidence = 2.3788
Sample 495: Avg Confidence = 2.5371
Sample 496: Avg Confidence = 1.4273
Sample 497: Avg Confidence = 2.7177
Sample 498: Avg Confidence = 2.3045
Sample 499: Avg Confidence = 3.7059
Sample 500: Avg Confidence = 2.7416
Sample 501: Avg Confidence = 1.8676
Sample 502: Avg Confidence = 1.1611
Sample 503: Avg Confidence = 0.9923
Sample 504: Avg Confidence = 3.2435
Sample 505: Avg Confidence = 1.8555
Sample 506: Avg Confidence = 1.8392
Sample 507: Avg Confidence = 2.2383
Sample 508: Avg Confidence = 4.1227
Sample 509: Avg Confidence = 3.0932
Sample 510: Avg Confidence = 2.3247
Sample 511: Avg Confidence = 3.1564
Sample 512: Avg Confidence = 4.3905
Sample 513: Avg Confidence = 1.9361
Sample 514: Avg Confidence = 2.2732
Sample 515: Avg Confidence = 2.8518
Sample 516: Avg Confidence = 3.1332
Sample 517: Avg Confidence = 1.8753
Sample 518: Avg Confidence = 5.0330
Sample 519: Avg Confidence = 1.2873
Sample 520: Avg Confidence = 2.7319
Sample 521: Avg Confidence = 3.8467
Sample 522: Avg Confidence = 2.7350
Sample 523: Avg Confidence = 3.3764
Sample 524: Avg Confidence = 3.6110
Sample 525: Avg Confidence = 2.1004
Sample 526: Avg Confidence = 2.8130
Sample 527: Avg Confidence = 3.7064
Sample 528: Avg Confidence = 0.9647
Sample 529: Avg Confidence = 2.2628
Sample 530: Avg Confidence = 1.6773
Sample 531: Avg Confidence = 1.0594
Sample 532: Avg Confidence = 3.3884
Sample 533: Avg Confidence = 2.3692
Sample 534: Avg Confidence = 3.0868
Sample 535: Avg Confidence = 1.1854
Sample 536: Avg Confidence = 0.9016
Sample 537: Avg Confidence = 2.1336
Sample 538: Avg Confidence = 1.5365
Sample 539: Avg Confidence = 3.4908
Sample 540: Avg Confidence = 4.8081
Sample 541: Avg Confidence = 1.5193
Sample 542: Avg Confidence = 3.1947
Sample 543: Avg Confidence = 3.6720
Sample 544: Avg Confidence = 1.9526
Sample 545: Avg Confidence = 2.4151
Sample 546: Avg Confidence = 1.7771
Sample 547: Avg Confidence = 3.7687
Sample 548: Avg Confidence = 2.6261
Sample 549: Avg Confidence = 4.6925
Sample 550: Avg Confidence = 2.7400
Sample 551: Avg Confidence = 3.4527
Sample 552: Avg Confidence = 1.8541
Sample 553: Avg Confidence = 2.3889
Sample 554: Avg Confidence = 3.4858
Sample 555: Avg Confidence = 2.4636
Sample 556: Avg Confidence = 1.6820
Sample 557: Avg Confidence = 2.4169
Sample 558: Avg Confidence = 2.5575
Sample 559: Avg Confidence = 2.0003
Sample 560: Avg Confidence = 3.4628
Sample 561: Avg Confidence = 2.3997
Sample 562: Avg Confidence = 2.1622
Sample 563: Avg Confidence = 1.0691
Sample 564: Avg Confidence = 1.6696
Sample 565: Avg Confidence = 2.5144
Sample 566: Avg Confidence = 1.6800
Sample 567: Avg Confidence = 2.1181
Sample 568: Avg Confidence = 1.5525
Sample 569: Avg Confidence = 2.4661
Sample 570: Avg Confidence = 1.5443
Sample 571: Avg Confidence = 2.4118
Sample 572: Avg Confidence = 3.1263
Sample 573: Avg Confidence = 2.1217
Sample 574: Avg Confidence = 1.3896
Sample 575: Avg Confidence = 2.0635
Sample 576: Avg Confidence = 1.9207
Sample 577: Avg Confidence = 1.9299
Sample 578: Avg Confidence = 2.1063
Sample 579: Avg Confidence = 1.5240
Sample 580: Avg Confidence = 3.1111
Sample 581: Avg Confidence = 2.3965
Sample 582: Avg Confidence = 5.2302
Sample 583: Avg Confidence = 3.1368
Sample 584: Avg Confidence = 1.9164
Sample 585: Avg Confidence = 2.4949
Sample 586: Avg Confidence = 2.5796
Sample 587: Avg Confidence = 2.2350
Sample 588: Avg Confidence = 1.0369
Sample 589: Avg Confidence = 2.7342
Sample 590: Avg Confidence = 2.8395
Sample 591: Avg Confidence = 2.6569
Sample 592: Avg Confidence = 1.7507
Sample 593: Avg Confidence = 2.2221
Sample 594: Avg Confidence = 2.5137
Sample 595: Avg Confidence = 2.2998
Sample 596: Avg Confidence = 1.5926
Sample 597: Avg Confidence = 2.2428
Sample 598: Avg Confidence = 2.4619
Sample 599: Avg Confidence = 2.8746
Sample 600: Avg Confidence = 1.0933
Sample 601: Avg Confidence = 3.1672
Sample 602: Avg Confidence = 1.9887
Sample 603: Avg Confidence = 1.8904
Sample 604: Avg Confidence = 2.4746
Sample 605: Avg Confidence = 1.6975
Sample 606: Avg Confidence = 2.7533
Sample 607: Avg Confidence = 2.8516
Sample 608: Avg Confidence = 5.1286
Sample 609: Avg Confidence = 2.3146
Sample 610: Avg Confidence = 2.3690
Sample 611: Avg Confidence = 3.8344
Sample 612: Avg Confidence = 1.6489
Sample 613: Avg Confidence = 1.3522
Sample 614: Avg Confidence = 3.2027
Sample 615: Avg Confidence = 3.2683
Sample 616: Avg Confidence = 1.1265
Sample 617: Avg Confidence = 2.0475
Sample 618: Avg Confidence = 2.7207
Sample 619: Avg Confidence = 1.7451
Sample 620: Avg Confidence = 1.2743
Sample 621: Avg Confidence = 1.7071
Sample 622: Avg Confidence = 2.2423
Sample 623: Avg Confidence = 1.6971
Sample 624: Avg Confidence = 2.3794
Sample 625: Avg Confidence = 2.2821
Sample 626: Avg Confidence = 2.2250
Sample 627: Avg Confidence = 1.7842
Sample 628: Avg Confidence = 1.4348
Sample 629: Avg Confidence = 2.6443
Sample 630: Avg Confidence = 3.5335
Sample 631: Avg Confidence = 2.8296
Sample 632: Avg Confidence = 2.4912
Sample 633: Avg Confidence = 2.3321
Sample 634: Avg Confidence = 1.5007
Sample 635: Avg Confidence = 2.2169
Sample 636: Avg Confidence = 2.4295
Sample 637: Avg Confidence = 2.1561
Sample 638: Avg Confidence = 2.5887
Sample 639: Avg Confidence = 0.7486
Sample 640: Avg Confidence = 1.9273
Sample 641: Avg Confidence = 2.6653
Sample 642: Avg Confidence = 2.8273
Sample 643: Avg Confidence = 2.1916
Sample 644: Avg Confidence = 1.3006
Sample 645: Avg Confidence = 2.8810
Sample 646: Avg Confidence = 2.3334
Sample 647: Avg Confidence = 2.2837
Sample 648: Avg Confidence = 1.4886
Sample 649: Avg Confidence = 1.4236
Sample 650: Avg Confidence = 1.8437
Sample 651: Avg Confidence = 1.7154
Sample 652: Avg Confidence = 3.0006
Sample 653: Avg Confidence = 1.9167
Sample 654: Avg Confidence = 3.3551
Sample 655: Avg Confidence = 3.6899
Sample 656: Avg Confidence = 3.1320
Sample 657: Avg Confidence = 1.4685
Sample 658: Avg Confidence = 1.1294
Sample 659: Avg Confidence = 3.8293
Sample 660: Avg Confidence = 2.4512
Sample 661: Avg Confidence = 1.7494
Sample 662: Avg Confidence = 1.7043
Sample 663: Avg Confidence = 3.7366
Sample 664: Avg Confidence = 2.5693
Sample 665: Avg Confidence = 3.4204
Sample 666: Avg Confidence = 2.5315
Sample 667: Avg Confidence = 3.8967
Sample 668: Avg Confidence = 1.7727
Sample 669: Avg Confidence = 1.2499
Sample 670: Avg Confidence = 2.1215
Sample 671: Avg Confidence = 2.1495
Sample 672: Avg Confidence = 2.0954
Sample 673: Avg Confidence = 8.4993
Sample 674: Avg Confidence = 1.0578
Sample 675: Avg Confidence = 1.8174
Sample 676: Avg Confidence = 2.5388
Sample 677: Avg Confidence = 1.2353
Sample 678: Avg Confidence = 4.3803
Sample 679: Avg Confidence = 1.9542
Sample 680: Avg Confidence = 1.9431
Sample 681: Avg Confidence = 1.6963
Sample 682: Avg Confidence = 2.8826
Sample 683: Avg Confidence = 3.7285
Sample 684: Avg Confidence = 2.2589
Sample 685: Avg Confidence = 1.6863
Sample 686: Avg Confidence = 1.6380
Sample 687: Avg Confidence = 3.0187
Sample 688: Avg Confidence = 1.5436
Sample 689: Avg Confidence = 2.8104
Sample 690: Avg Confidence = 2.2749
Sample 691: Avg Confidence = 3.4069
Sample 692: Avg Confidence = 2.1763
Sample 693: Avg Confidence = 3.7427
Sample 694: Avg Confidence = 2.6782
Sample 695: Avg Confidence = 3.2789
Sample 696: Avg Confidence = 4.0163
Sample 697: Avg Confidence = 3.8075
